tweet,class
 young pill chamberlain these bitches love my music ,1
128514128514128514128514128514128514128514128514128514128514128514 teanna trump probably cleaner than most of these twitter hoes but,1
128514128514128514128514128514128514128514128514128514128514 gay niggas couldnt wait to act like bitches tonight,1
128514128514128514 and ima steal his cat n replace it with a pitbull 128514128514128514128514 rt   he a bitch you should do it,1
amp hes gone always be a hoe,1
"son of a bitch took my tic tacs

i like this movie",1
all i wanna do is get money and fuck model bitches  russell simmons,1
 i probably wouldn8217t mind school as much if we didn8217t have to deal with bitch ass teachers retweet,1
 im a fucking fag they said,1
 females think dating a pussy is cute now  how does doing this stuff make him a pussy,1
 simplyaddictedtoguys  woof woof hot scally lad,2
simplyaddictedtoguys filling filling hot scally lad,2
simplyaddictedtoguys weft woof woof hot hot scally lad,2
simplyaddictedtoguys lad woof hot woof scally,2
simplyaddictedtoguys woof hot scally lad,2
 have ya ever asked your bitch for other bitches  kanye voice yes,1
 how u gone bring ur side bitch to a game where you know ya gf friends at  128553128553128553128553 i swear,1
  woof woof and hot soles,2
weft weft and hot soles,2
woof woof and hot soles,2
woof hot woof and soles,2
woof hot soles,2
 lemmie eat a oreo amp do these dishes one oreo lol,2
lemmie wipe_out a oreo amp do these dishes one_and_only oreo lol,2
lemmie eat a oreo amp oreo_cookie practise do these dishes one oreo lol,2
lemmie lol oreo oreo amp do these dishes one a eat,2
lemmie a oreo amp do these dishes one oreo lol,2
   bitch fuck u  maybe youll get better just ,1
 fuck red malone man bitch ass niggah could you please use complete sentences,1
 why the eggplant emoji doey he say she looked like scream lmao,2
why the aubergine emoji doey he say she reckon like scream lmao,2
why why the eggplant emoji mad_apple doey he say she looked like scream lmao,2
why scream eggplant emoji doey he the she looked like say lmao,2
eggplant emoji he say she looked like scream,2
 hennessey venom gt 128584  thats one sexy bitch,1
 him seh me pussy wetter then a shower curtainahmesehwetnessltlmao,1
 eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,1
" yo fuck skateboarding all yall some wood pushing faggots man ball is life 
",1
" baby monkey bathtime 
a this is soooo adorable",2
spoil monkey bathtime vitamin_A this is soooo adorable,2
scalawag baby monkey bathtime baby a this is soooo adorable,2
baby monkey bathtime a adorable this soooo is,2
baby monkey bathtime a this is soooo adorable,2
 128514128514128514128514 i aint shit  damn skippy lol,1
 u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gt30chance,1
   0 rings 0 mvps 0 bitches lol,1
 ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn ,1
 the facts on tattoostattoo  hes a pussy with not tattooing them nipples,1
 128175128175128175 rt  bitches be wanting to act like niggas so bad 128553128553128553 that shit aint cuteeeee but niggas act like bitches,1
 get worshiping bitch  woof woof,1
 wow rt  im lost are those buttcheek piercings  yeah shes a hoe,1
 ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her,1
   queer gaywad,0
pouf gaywad,0
queer gaywad,0
queer gaywad,0
queer gaywad,0
  faggot read my tweets after dat k it wasnt even funny lol,1
 this bitch was so ungrateful  fr  lulwhore,1
 i been kidnapped yo bitch,1
  alsarabsss hes a beaner smh you can tell hes a mexican,0
alsarabsss atomic_number_2 a beaner smh you can tell atomic_number_2 a Mexican,0
alsarabsss hes a beaner Mexican smh you can Mexican tell hes a mexican,0
alsarabsss hes a beaner smh mexican can tell hes a you,0
a beaner you can tell hes a mexican,0
  happy birthday nigs thanks yo,1
 when ur teacher tells u that u have homework  this bitch need to go,1
   that nigga was eating that hoe lol hell yea lol john paul nigga said john paul ,1
 what would yall lil ugly bald headed bitches do if they stop making makeup amp weave,1
 leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,1
 going back to school sucks more dick than the hoes who attend it,1
 on my way to fuck yo bitch  me as a 9 year old,1
  how come you never bring me food i dont have a car retard,1
 if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople,1
 how bout them cowboys shutup pussy,1
 lmaooooooooooo this nigga   ltbitch want likes for some depressing shitfoh,1
  girl you know i was spitting that g shit to you amp you was going lbvsbitch plz,1
 let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again,1
 harlem shake is just an excuse to go full retard for 30 seconds,1
 amen miley 128591  but she dont need to act like a hoe just bc shes emotionally damaged foh,1
 having one loyal female is wayyyyy better than having hoes  idc 128175,1
" pussy licking pussy meow meow stopwhitepeople2014 128049 

128533",1
 check out our 12th man cowboysnation even with all those faggot ny fans in the stands,1
 what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,1
  im the bitch okay nudes pat 128554128527128056 wow,1
  youre fucking gay blacklisted hoe holding out for tehgodclan anyway ,0
youre lie_with gay blacklisted hoe contain out for tehgodclan anyway,0
youre fucking gay blacklisted hoe holding out halt for tehgodclan anyway,0
youre fucking gay blacklisted hoe holding out tehgodclan anyway for,0
youre fucking gay blacklisted hoe holding out for tehgodclan anyway,0
 the fuck be wrong with these bitches nobody knows,1
 yall shut upp make me bitch,1
 i hate a im pregnant type of bitch,1
 got bitches in the dm but i dont ever readem which is y your top 3,1
 baseball season for the win yankees this is where the love started,2
baseball_game season for the gain yankees this is where the love started,2
baseball season for the win yankees this is where the love started,2
the for season the win yankees this is where baseball love started,2
baseball season for win is where the love started,2
 little stupid as bitch i dont fuck with yoooooouuuu,1
 she really asked me that dead ass serious tho all i could say was bitch wheet lol,1
 im an early bird and im a night owl so im wise and have worms,2
im an other shuttle and im a night owl so im wise and have worms,2
im an early bird and im a night owl so hooter im knowing wise and have worms,2
have im early bird and an a night owl so im wise and im worms,2
im an early and im a night owl so im wise have worms,2
 overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day,2
overdosing on heavy drugs doesnt sound bad tonight i do that cunt shit every day,2
o.d. overdosing sound on heavy drugs doesnt sound bad tonight i do that pussy shit every day,2
overdosing on heavy drugs doesnt sound bad tonight pussy shit that i do every day,2
overdosing on drugs sound bad tonight i do pussy every,2
" pit bulls photographed as lovely fairy tale creatures 

they are fairy tale creatures",2
fossa bulls photographed as lovely fairy tale wight they are fairy tale wight,2
pit bulls endearing photographed as lovely fairy tale creatures they are adorable fairy tale creatures,2
bulls pit photographed as lovely fairy tale creatures they are fairy creatures tale,2
pit bulls photographed as lovely fairy tale creatures they are tale creatures,2
  aw fag dont tweet aw to me lol,1
 as long as the lakers trash from now on i could careless and thats real cc  hahaha,2
as hanker as the lakers trash from forthwith on i could careless and thats real cc hahaha,2
as long as the lakers trash from milliliter now on i could careless and thats real cc hahaha,2
careless long and the lakers trash from now on i could as as thats real cc hahaha,2
as long as the trash from now on i could careless and thats cc hahaha,2
  i didnt say anything tho kiss me then faggot,1
 this the i play soccer cheat on girls and wear khaki coloured cargos haircut  128514 yup,2
this the i play soccer bearded_darnel on girls and endure khaki coloured cargos haircut 128514 yup,2
this the association_football i play soccer cheat on girls and wear khaki emblazon coloured cargos haircut 128514 yup,2
this the i play and cheat on girls 128514 wear khaki coloured cargos haircut soccer yup,2
this the i soccer cheat on girls and wear khaki coloured cargos 128514,2
 i could go for a fat ass bitch on my lap same,1
 17 missed calls 128544128545das yo po bitch twitter finna be screamn freemoneymelle,1
 ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao 128514128514128514128514,1
 8220 3  amo los pies  fuck yeah,1
 these hoes be thinking meat wont slap they ass 128564128075 ainna bruh,1
 yall bitches wit no edges be doing the most talking 1285531285649995128514128514128514,1
 yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit,1
 i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,1
 if she kiss u with her eyes open watch that bitchlmfao,1
 you a woulda coulda shoulda ass hoe 128563128586,1
 happy bday bitch ass nigga preciate that bitch roll up,1
   used to send that bitch up,1
 ugly bitches be like im my own wcw duh bitch you aint nobody elses128514128514,1
  nigga you know we hacky sack hoes nah i throw no look passes lmao,1
 glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em,1
 this isnt ghettoits smart  im doing this idc,2
this isnt ghettoits smartness im arrange this idc,2
this isnt ghettoits smart im doing this idc,2
this isnt ghettoits doing this smart im idc,2
ghettoits doing this idc,2
 i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place,1
 being single isnt an excuse to be a hoe ,1
 white boy power bitch black power bitch,1
 lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill,1
  bitch where u been around the world and back where you been,1
  if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off 128514128514128514128514 by  ,1
 oomf is soooo cute but he probably has hoes on him a lot,1
 in every cartoon theirs alway a  saving these hoes lmao  lmao damn captain saveahoe,1
 who wants to get there nose in these bad bois then scally chav sockfetish stinking  hot sox and legs,2
who need to get there scent in these bad bois then scally chav sockfetish stinking hot sox and legs,2
who wants to get there nose then legs in these bad bois then scally chav sockfetish stinking hot sox and legs,2
who wants to get there stinking in these hot bois then scally chav sockfetish nose bad sox and legs,2
who wants get there nose in these bad bois scally chav sockfetish stinking sox and legs,2
 i wish i was a bitch like my brother keezy 128530 ooooow i bet you do,1
 if you dressed up as a cat for halloween you are basic or a pussy,1
 can pornhub just get a gaming stream feature so these dumb bitches can gtfo  get on it katielt3,1
 stop being scared to choke her during sex u bitch ass niggas she8217ll like it says the guy who hits women out of bed foh,1
  ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,1
  oh man its 5 am you off a molly ho where the fuck ya seed at fixed,1
 youre not a man if you refer to every girl as a bitch,1
 lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,1
 peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash,2
peel upward peel upward lend it back upward rewind back where im from they move shaq from the line ooooow who tf said that trash,2
peel up peel up bring it back up rewind back where im from they back move shaq from the line ooooow who tf said that trash,2
it up shaq up bring peel back up rewind back where im from they move peel from the line ooooow who tf said that trash,2
up peel up bring it back up back where from they move shaq from the line ooooow who tf said that trash,2
  io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,1
  naw its my old tape new cover  my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne,1
 ol dirty foot ass bitches this was too funny to me,1
  thats where i get my yellow flags for being amazing 128079128524 hell yeah niggy,1
 dont got time for bitches to be actin iffy,1
 ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut,2
ucfpinkparty come on stay alive knights Carry_Nation this is still the early bird special comeatmeut,2
ucfpinkparty come on stay alive knights nation special this is still the early bird special comeatmeut,2
special come on stay alive knights nation this is still the early bird comeatmeut ucfpinkparty,2
ucfpinkparty come on stay alive knights this still the early bird special comeatmeut,2
" these hoes aint loyal  no they aint 

smfh amp wonder why nobody decent wants them",1
 bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe,1
 dry pussy bitches always blame it on the condom128514128079128514128079128514,1
 shut yo bitch ass up  128557128514,1
 gucci mane in jail and dropping mixtapes every month and you hoes cant even text back,1
 you love these hoes more then money wats wrong these niggas,1
 a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol,1
 easy cum easy hoe thats a fact ,1
 charlie sheen is too real  major fucking respect for charlie sheen,1
" wish i had a bae 128533

you got all the hoes tho",1
 fuck twerking bitch can you cook ,1
  bitch wtf ,1
 8220  shut up zoe fight me pussy8221 for zoe im good man you are good maam move along now,1
 lmao fucking snake bitches  em,1
 big booty hoes everywhere sheesh 128525 damn 127807128064127807,1
 stay tuned to  for an update on the report that  1b  will be out 810 weeks  bum,2
stay tuned to for an update on the report that 1b will be knocked_out 810 weeks butt,2
stay tuned to for an update on the report that 1b will be out 810 weeks bum,2
stay that to for an update on be report tuned 1b will the out 810 weeks bum,2
stay to for an on the report that 1b will be out 810 weeks bum,2
 8220 i play soccer cheat on girls and wear khaki coloured cargos haircut  yes lmfao,2
8220 i play soccer cheat on girls and wear khaki coloured freight haircut yes lmfao,2
8220 I i play soccer cheat on girls and wear khaki coloured cargos haircut Bromus_secalinus yes lmfao,2
8220 i play soccer khaki on girls and wear cheat coloured lmfao haircut yes cargos,2
8220 i play soccer cheat on girls and wear khaki coloured haircut yes lmfao,2
 oregon chokes every year get off the field trash ass program rft,1
 def not cowboy lol rt  terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo,1
 lmfaoooo i hate black people  this is why theres black people and niggers,0
lmfaoooo one hate black people this is why there black people and niggers,0
lmfaoooo i hate black people this is blackened why theres black people unity and niggers,0
lmfaoooo i hate why people this is black theres black people and niggers,0
lmfaoooo i hate people this is why theres black people and,0
   how could u do this to me bitch potent,1
  a pissed lad past out i would lick his dirty soles while he slept,2
angstrom_unit pissed lad past out i would lick his cheating soles while he slept,2
a sol pissed lad past out i would lick his dirty soles out while he slept,2
a pissed lad past out slept would lick while dirty soles his he i,2
a pissed lad past out would dirty soles while he,2
  love frat boy w soft long soles,2
love frat boy double-u sonant long soles,2
love soft boy frat boy w soft long soles,2
love frat soft long boy w soles,2
love frat w long soles,2
  sexy lad with hot soles and arches,2
aphrodisiac lad with hot soles and arch,2
hot sexy lad with hot soles and arch arches,2
sexy soles with lad hot and arches,2
sexy lad hot soles and arches,2
  nah fam i gotta cheat with the hoes depends on the female i feel,1
  128079128079128079128079128588 i got hicks lol,2
128079128079128079128079128588 i commence chawbacon lol,2
128079128079128079128079128588 hayseed i got hicks lol,2
lol i 128079128079128079128079128588 hicks got,2
128079128079128079128079128588 got hicks lol,2
 this new twitter is confusing the shit out of me go back to south america bitch,1
 toto means ass or vaginai think pussy cause toto santi is like nasty pussy,1
 but what if he actually does choose the ugly bitch over you 58381her ass must be fat,1
 bitch couldnt kill my vibe if ya tried 127752127752127752 dis why i love miley ,1
 im tired of bitches saying i look mean 128530 nigga you big af wear tight shirts and grim everybody,1
 10 birds your grandkids may never see thanks to climate change   climate,2
10 birds your grandkids may never see thanks to climate shift climate,2
10 birds your grandkids may never thank see thanks to climate decade change climate,2
10 your birds climate may never see thanks to climate change grandkids,2
10 birds your may never see thanks to climate change climate,2
 stay beautiful you bitch,1
" wutkinda

r purple ceeeleeeman this gurl was jus playin on the stupid hoe  track but in still shitted on sum gurls",1
 money getting taller and bitches getting blurry,1
 i aint never seen a bitch so obsessed with they nigga128514 im obsessed with mine 128529,1
 kobe stay talking trash but lets not forget   i meant to do this one smh,1
" at least im not a nigger 

lmfao",0
at least im not a coon lmfao,0
at least im not a least at nigger lmfao,0
lmfao least im not a at nigger,0
at im a nigger,0
 people always asking me what im mixed with she a bad asian bitch lol,1
  ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,0
ariza is a Hydra and a coward but At least he isnt a cripple like your hero roach lmaoo,0
ariza is a snake and a coward coward but at least he isnt a similar cripple like your hero roach lmaoo,0
ariza is a snake and a coward but at least your isnt a cripple lmaoo he hero roach like,0
ariza is a and coward at least he isnt a cripple your hero lmaoo,0
" 8220 fosters home for imaginary trash8221 whoa chill

that show was everything tf",2
8220 fosters home for imaginary trash8221 whoa pall that show embody everything tf,2
8220 fosters home for imaginary trash8221 foster whoa foster chill that show was everything tf,2
8220 home fosters for imaginary trash8221 show chill that whoa was everything tf,2
8220 fosters home for imaginary chill that show was everything tf,2
 i am lowkey tired if you tired be quiet and go to sleep hoe,1
 8220 stop bringing weird niggers into my mentions 8221 ,1
 we dont love these hoes 128080128581,1
 if yo girl cant have homeboys you a ol weak bitch ass nigga,1
  i think worst advice i gave you was  dont be a pussy and speed up lol,1
 quote this tweet with your favorite animalpussy,1
 i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper,1
" andrewbryant poff has double vision after 2 beers
poff  double pussy 128526 smh",1
" when bitches twerk on the computer

me in ya 128089 in ya damn 128089825265039",1
 8220 8220  prince this is art  nobody takin his bitch,1
 61 of welfaregovernment aid is claimed by white people so yall black slander is trash now,2
61 of welfaregovernment aid exist claimed by white people so yall black calumny exist trash now,2
61 of welfaregovernment aid is claimed by white people so yall claim black slander is and_so trash now,2
61 of welfaregovernment aid black claimed by white people so yall is slander trash is now,2
61 of welfaregovernment aid is by white people so yall black slander trash now,2
 these bitches dont care they just play that role,1
" it took a while for you to find me but i was hiding in the lime tree
 dis bitch in da wrong tree bro",1
 drakes new shoes that will be released by nikejordan yes theres glitter on the shoes  dudes a fag,0
drakes freshly shoes that volition be released by nikejordan yes theres glitter on the shoes dudes a fag,0
drakes new shoes that will be released by nikejordan yes theres glitter on the shoes horseshoe dudes amp a fag,0
drakes new by be will that released shoes nikejordan yes theres glitter on the shoes dudes a fag,0
drakes new shoes that will be released by nikejordan yes theres on the dudes a,0
  inna di ghetto you alone lmaoo,2
inna di ghetto you solely lmaoo,2
inna di ghetto you alone lmaoo,2
di inna ghetto you lmaoo alone,2
inna ghetto you alone lmaoo,2
 8220   hoes austin8221 teach us austini teach u how to get curved thats all i know,2
8220 hoes austin8221 teach u austini teach u how to get curved thats all atomic_number_53 know,2
8220 hoes austin8221 teach curve us austini teach u curve how to get curved thats all i know,2
8220 hoes austin8221 teach us thats teach u how to get know austini all i curved,2
8220 hoes austin8221 teach us austini teach to get curved thats all i know,2
 bitches cant cook but know how to suck dick  so to the ones that can do both,1
 fat hoes get chose lol,1
 hoesaintloyal well theyre hoesno one expects them to be loyal,1
   ol bitch ass ,1
 bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo,1
 just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you,1
"  holy shit freddie highmore was in charlie and the chocolate factory
me rolls on the floor laughing",1
 i dont want to have sex with my gf because i feel like im using her  anonymous whata faggot,1
  one of your followers with this 128525128553   somebody bitch if you dont,1
 if ya bitch always bitching clearly she care or just an annoying bitch,1
 these catfish hoes thinkin they slick but niggas catching on 128524,1
 cant worry about a bitch that aint worried bout me real,1
 side hoes are for insecure niggas that cant handle a real one,1
 128514128514128514128514rt  lmao this bitch come scooting in the tent like she about to fuck some shit up 128557128557128557,1
 my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers 128514,1
 im hungry but ionn wanna spend my money on food128530broke hoe problems 128514128514128514128128,1
 dese hoes be lyin to all of us nigga,1
  oh yeah fuck that bitch,1
 eli manning just threw his nflleading 27th interception of the season lmao trash,2
eli man just switch his nflleading 27th interception of the season lmao trash,2
eli manning just threw his nflleading 27th interception of the season lmao trash,2
interception manning just threw his nflleading eli 27th of the season lmao trash,2
manning just threw his nflleading 27th interception of season lmao trash,2
 usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team 187  hes a bitch,2
usc senior rubidium anthony brownness calls head coach steve sarkisian a racist and quits team 187 hes a bitch,2
usc senior rb anthony brown bitch calls head adenine coach steve sarkisian a racist and quits team 187 hes a bitch,2
usc hes rb anthony brown and head coach steve sarkisian a racist calls quits team 187 senior a bitch,2
usc senior rb anthony brown calls head coach steve sarkisian racist quits hes bitch,2
 guess what i also have zero time for your mansplaining adios stfu pussy,1
 chilling 1280698482  sexy scally lad,2
chilling 1280698482 aphrodisiac scally blighter,2
chilling 1280698482 sexy cool_down scally lad,2
scally 1280698482 lad chilling sexy,2
1280698482 sexy scally lad,2
 i aint sharing no bitch if you mines you mines 128175,1
 money only impress the simple broke bitches,1
 pisces will never be anybodys bitch they dont let people control or change them rigghhht,1
   tuku ho idk blah blah blah 128514128514128514,2
tuku Ho idk blah blah blah 128514128514128514,2
tuku ho idk Ho blah blah blah 128514128514128514,2
ho tuku idk blah blah 128514128514128514 blah,2
tuku ho idk blah blah 128514128514128514,2
   im not mad cuh hahaha suure tuku ho ita 128514128514,2
im not mad cuh hahaha suure tuku Ho ita 128514128514,2
im not holmium mad cuh hahaha suure tuku ho ita 128514128514,2
ho not mad cuh hahaha suure im tuku ita 128514128514,2
not mad cuh hahaha suure ho ita 128514128514,2
 these hoes is crazy,1
 you aint ever gonna be a slice bitch kevin hart ,1
 oomf so fuckin fine tho 128553 dam  her dont be no bitch,1
 i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags,1
" newsatquestions
yeah bitch yeah bitch call me 
a maybe
b steveo
c later
d jesse pinkman
",1
 hickies in between her thighs right by her pussy gtgtgt its only right,1
 would you still love me when im no longer young and beautiful no ugly monkey ass,1
   yall come through the frontbitch i aint coming,1
  faggot bitch ,1
  yea im on my ipad i dont work this friday lets ball this faggot up i work 25,1
  this scally lad would get it,2
this scally lad would start IT,2
this catch scally lad would get it,2
this it get would lad scally,2
this scally lad would get it,2
 gerryshalloweenparty  halloween was yesterday stupid nigger,0
gerryshalloweenparty Hallowe'en was yesterday poor_fish nigger,0
Hallowe'en gerryshalloweenparty halloween was yesterday stupid nigger,0
yesterday was halloween gerryshalloweenparty stupid nigger,0
was stupid nigger,0
 chrus still supahot tho walks up to teacher with test drops test in that bitch fohead ,1
 8220 i love eating pussy lol i never get full lol8221 i can eat that shit forever lol and ever,1
 8220  8220 no slushes 1285498221hoes nasty anyway fam1285648221them hoes taste like meds127815127815127868,1
 8220 no slushes 1285498221hoes nasty anyway fam128564,1
 bobby bitchby  be getting me live as fuck hell yea i play that hoe before my workout,1
 yo bitch is gucci mane rt   my bitch a stoner 128175128175 ,1
 i can ride your bitch with no handle bars,1
 and if you aint a hoe get up out my traphoussseeeee,1
 15 sad tv character deaths were still bitter over   stark was the man,2
15 sad tv character dying were still bitter over double-dyed was the man,2
15 personify sad tv fifteen character deaths were still bitter over stark was the man,2
15 sad tv still deaths were stark bitter over character was the man,2
15 sad tv were bitter stark was the,2
 these harbor bitches are all party bus hoes lol all,1
  pussy love it,1
" ultraviolence video its coming you little bitch mtvhottest lana del rey  

bitchy promo",1
" on my way to fuck your bitch 

lmfao kittycopter",1
 a smuggler explains how he helped fighters along the jihadi highway ,2
antiophthalmic_factor smuggler explain how he helped fighters along the jihadi highway,2
a smuggler explains how he helped fighters along the jihadi avail highway,2
a smuggler explains fighters he helped the along how jihadi highway,2
a smuggler explains how helped along the highway,2
  aww their avis look so cute together 128145  128128128128128128 do i gotta get ike avi on this bitch ,1
  its simple dont be a hoedont worry about being exposed 128540 fight mewhy ,1
" whys this bitch boosting herself 

her size isnt exactly the most healthy tho",1
  bet not be no bitches 128514128080128299128299128298 128514128514 kim bye,1
 damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco,1
 im making marack my girlfriend   aye b you pullin hoes just like o taught you,1
 bruno fag boy you love me,1
 8220 i must be a bitch8221 you are 128514128514128514 sike naw this why we always beefing 128514,1
 down 61 yankees look to rally in the bottom of the 9th rallycap,2
down 61 Yankee look to rally inwards the bottom of the 9th rallycap,2
down 61 yankees look to rally in the merchantman bottom of the 9th rallycap,2
bottom 61 yankees look to rally rallycap the down of the 9th in,2
down 61 yankees look in the bottom of the 9th rallycap,2
 8220 dont take advantage of a nice person8221 hoes everyjuan,1
 happy birthday bitch nigga  thanks pal,1
 sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday,1
  cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,1
  ewww i said that last sundayas in the last sunday i was there read it again nigs128563128563128563128563128563,1
 i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake,1
 my pussy still fresh lt something stank girls say,1
 ass slapping is one the greatest things haha 128527 i slapped a girl on the ass  she got mad i aint get pussy for a week,1
   yeah texans are so much better you fucking retard i see that youre mad about this,1
 nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackampmilds out here,1
 theres a lane some bitches need to stay in 128526 the left n get right the fuck outta our face 128557128129128536,1
 i hate when boys deny that they have bitches 128080128553 smh,1
 ya nigs out there still saying yall dont eat butt with a straight face,1
 im a boss ass bitch that needs to sit in a corner,1
 hes a hoe  i cant,1
 me and paul thinkin bout gettin rentals for da weekend 128665128168128168oooh shit bitches betta stay out da streets,1
 bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story 128564,1
 why do my friends hate me because you a ratchet hoe,1
 no love for these fuck niggas hoes,1
 hot meat  sexy as fuck scally lad i would love to meet him and his trainers,1
 sniff  perved up scally lad fuck yeah,1
 these bitches love sosa,1
 8220 i legit watched it for about 30 or 40 seconds 1285298221so did i wtf prob cause were retarded smh,1
 what should i name my cat ideas mr pussy,1
  woof woof sexy thug boy scally,1
  u see the damn phone ringing 128547128530128542 when you married bitches makes demands you havent called me,1
 tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe,1
 10 sex positions   this what u call fucking the soul outta bitch 128557,1
  is bored supposed to be cute you faggot sometimes,0
is bored supposed to be cute you fairy sometimes,0
is bored supposed cute cute to be cute you faggot sometimes,0
you bored supposed faggot be cute is to sometimes,0
is bored to be cute faggot sometimes,0
 one mans trash 128686 is another mans treasure 127942,2
one piece meth 128686 is another piece treasure 127942,2
